_id,checked,grade,orderid,price,pronum,title,weight,year,createTime,navid,picurl
b00064a76050b4960a5522dc4f10cc9a,TRUE,白牡丹二级,9,1900/饼,LM-2020037,有机白牡丹,300g,2019年,1615901846060 ,ObjectId(63b96101819ce84216576b1e),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/7d55006c-db87-4bec-865a-21b611981db6.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/84ee0eb1-517b-4e24-976d-e3038de7f635"",""width"":460},""name"":""有机白牡丹.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/7d55006c-db87-4bec-865a-21b611981db6.jpg"",""size"":43394,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/7d55006c-db87-4bec-865a-21b611981db6.jpg""}"
79550af260ab47ef19ae99816311552f,TRUE,白毫银针一级,21,23610/箱,LM-2021010,白毫银针,3000g,2021年,1621837807034 ,ObjectId(63b9612af5cf3a165a3ccb43),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/91ca4600-2fdd-423b-bce0-32f1a5bc88a6.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/f310c037-4e1d-473a-9cee-7bb638eeb686"",""width"":460},""name"":""白毫银针.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/91ca4600-2fdd-423b-bce0-32f1a5bc88a6.jpg"",""size"":34606,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/91ca4600-2fdd-423b-bce0-32f1a5bc88a6.jpg""}"
b00064a760507b8c0a4c4fe557f31c26,TRUE,寿眉一级,8,676/砖,LM-2020015,陆羽砖·老树寿眉,300g,2016年,1615887244233 ,ObjectId(63b960abf5cf3a165a3cb9db),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/952212ad-a99e-4e68-affa-622befbd79de.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/2705a476-3edc-43b8-b1d1-159a87b1e243"",""width"":460},""name"":""陆羽砖·老树寿眉.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/952212ad-a99e-4e68-affa-622befbd79de.jpg"",""size"":57752,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/952212ad-a99e-4e68-affa-622befbd79de.jpg""}"
b00064a7605064450a487fb0786d94e8,TRUE,白牡丹三级,13,2166/饼,LM-20207133,新款金印,300g,2014年,1615881285118 ,ObjectId(63b96087819ce84216575a3c),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/1b8af8b4-3f84-44b6-a33b-1a34227d7abc.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/29347735-4d96-42fd-b1b8-098427681081"",""width"":460},""name"":""新款金印.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/1b8af8b4-3f84-44b6-a33b-1a34227d7abc.jpg"",""size"":32160,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/1b8af8b4-3f84-44b6-a33b-1a34227d7abc.jpg""}"
b00064a760507c630a4c65c477d39aae,TRUE,白牡丹三级,5,1948/饼,LM-2019009,第二届数字中国峰会纪念饼(礼盒),500g,2015年,1615887459525 ,ObjectId(63b9609c819ce84216575d11),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/86ae7ef0-f288-490c-b5e6-509b0b35c522.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/25b9c8d0-dd36-4ed8-acb1-814e67bced76"",""width"":460},""name"":""第二届数字中国峰会纪念饼(礼盒).jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/86ae7ef0-f288-490c-b5e6-509b0b35c522.jpg"",""size"":64426,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/86ae7ef0-f288-490c-b5e6-509b0b35c522.jpg""}"
79550af26050b86e0a63517a07b95983,TRUE,贡眉一级,15,暂无定价,LM-201838,白露贡眉,300g,2017年,1615902830308 ,ObjectId(63b9612af5cf3a165a3ccb43),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/ab662b67-9a47-48a8-8ad1-6f8ec54a586e.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/1ee6337a-faf0-4d69-b355-52e16e636e8b"",""width"":460},""name"":""白露贡眉.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/ab662b67-9a47-48a8-8ad1-6f8ec54a586e.jpg"",""size"":49193,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/ab662b67-9a47-48a8-8ad1-6f8ec54a586e.jpg""}"
79550af260505d640a53dad62f97db07,TRUE,白牡丹三级,17,1346/饼,LM-20197077,六妙绿印,300g,2016年,1615879524142 ,ObjectId(63b9600be1a35c358c18483b),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/00f6542a-77c2-4d4a-bace-fbf6115989bf.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/c58c9cc9-a64c-45f8-b4d2-d8651a148b7c"",""width"":460},""name"":""六妙绿印.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/00f6542a-77c2-4d4a-bace-fbf6115989bf.jpg"",""size"":38826,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/00f6542a-77c2-4d4a-bace-fbf6115989bf.jpg""}"
b00064a7605063960a483cf344d885c0,TRUE,白毫银针一级,14,5150/饼,LM-20207199,新款紫印,300g,2017年,1615881110125 ,ObjectId(63b9600be1a35c358c18483b),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/cc38dd9c-0063-4a0f-9b59-dd66949d4fc4.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/9d034b10-f398-4466-b6a7-1fedcda7affc"",""width"":460},""name"":""新款紫印.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/cc38dd9c-0063-4a0f-9b59-dd66949d4fc4.jpg"",""size"":29723,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/cc38dd9c-0063-4a0f-9b59-dd66949d4fc4.jpg""}"
28ee4e3e60505c340af0a0f53d58d9a2,TRUE,白牡丹三级,19,2512/饼,LM-20197033,六妙金印,300g,2013年,1615879220614 ,ObjectId(63b9600be1a35c358c18483b),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/8db8cec4-18bf-4e8c-8531-2cde9b3a1ca3.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/22b6d693-4ad9-4f4b-bd69-e6f4631bd122"",""width"":460},""name"":""六妙金印.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/8db8cec4-18bf-4e8c-8531-2cde9b3a1ca3.jpg"",""size"":39197,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/8db8cec4-18bf-4e8c-8531-2cde9b3a1ca3.jpg""}"
79550af26050b9d00a6375ad20319360,TRUE,贡眉一级,9,936/盒,LM-201810,贡眉散茶,400g,2015年,1615903184713 ,ObjectId(63b9612af5cf3a165a3ccb43),"{""extname"":""jpg"",""fileID"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/c98d29a6-1800-40db-b518-c3eda8e4d5ae.jpg"",""fileType"":""image"",""image"":{""height"":460,""location"":""blob:http://localhost:8080/08e55d19-1398-4361-a121-242f0fdffcc8"",""width"":460},""name"":""贡眉散茶.jpg"",""path"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/c98d29a6-1800-40db-b518-c3eda8e4d5ae.jpg"",""size"":39274,""url"":""https://mp-0cb878b7-99ec-44ea-8246-12b123304b05.cdn.bspapp.com/cloudstorage/c98d29a6-1800-40db-b518-c3eda8e4d5ae.jpg""}"
